name,year,commodity,code,companyID,file_name,gfs_code,gfs_name,value
Abosso Goldfields Ltd,2007,Gold,abosso_goldfields_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,113E,Taxes on property,37609.0
Abosso Goldfields Ltd,2007,Gold,abosso_goldfields_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,1415E1,Royalties,3370783.0
Anglogold Ashanti (Obuasi) Ltd,2007,Gold,anglogold_ashanti_(obuasi)_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,113E,Taxes on property,419541.0
Anglogold Ashanti (Obuasi) Ltd,2007,Gold,anglogold_ashanti_(obuasi)_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,1415E1,Royalties,6286906.0
Anglogold Ashanti (Iduapriem) Ltd,2007,Gold,anglogold_ashanti_(iduapriem)_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,113E,Taxes on property,35938.0
Anglogold Ashanti (Iduapriem) Ltd,2007,Gold,anglogold_ashanti_(iduapriem)_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,1112E1,"Ordinary taxes on income, profits and capital gains",1578964.0
Anglogold Ashanti (Iduapriem) Ltd,2007,Gold,anglogold_ashanti_(iduapriem)_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,1415E1,Royalties,2480936.0
Anglogold Ashanti International,2007,Gold,anglogold_ashanti_international2007gold,na,2007 Ghana Summary Data (draft).xlsx,1412E2,From government participation (equity),3749228.0
Chirano Gold Mines Ltd,2007,Gold,chirano_gold_mines_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,113E,Taxes on property,35000.0
Chirano Gold Mines Ltd,2007,Gold,chirano_gold_mines_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,116E,Other taxes payable by natural resource companies,1553.0
Chirano Gold Mines Ltd,2007,Gold,chirano_gold_mines_ltd2007gold,na,2007 Ghana Summary Data (draft).xlsx,1415E1,Royalties,1785624.0
Ghana Bauxite Company Ltd,2007,Bauxite,ghana_bauxite_company_ltd2007bauxite,na,2007 Ghana Summary Data (draft).xlsx,113E,Taxes on property,11576.0
