name,year,commodity,code,subtotal,id,file_name,1145E,114522E,1212E,141E,1143E,143E,1141E,1151E,1415E31,1415E32,12E,1153E1,11451E,1421E,144E1,14E,115E,1412E,113E,114521E,111E,1415E1,142E,1412E2,1412E1,1142E,1112E2,1112E1,11E,1152E,1415E,1413E,116E,1422E,114E,1415E4,1415E5,112E,1415E2
Government Total,2007,all,gov_total2007all,61149888.0,governments,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,884811.0,0.0,na,40836760.0,na,3853442.0,na,na,na,15573250.0,na,na,na,na,1625.0,na,na,na,na,na,na
Companies Subtotal,2007,all,co_total2007all,61149868.0,companies,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,884811.0,na,na,40836760.0,na,3853422.0,na,na,na,15573250.0,na,na,na,na,1625.0,na,na,na,na,na,na
Abosso Goldfields Ltd,2007,Gold,abosso_goldfields_ltd2007gold,3408392.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,37609.0,na,na,3370783.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Anglogold Ashanti (Obuasi) Ltd,2007,Gold,anglogold_ashanti_(obuasi)_ltd2007gold,6706447.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,419541.0,na,na,6286906.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Anglogold Ashanti (Iduapriem) Ltd,2007,Gold,anglogold_ashanti_(iduapriem)_ltd2007gold,4095838.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35938.0,na,na,2480936.0,na,na,na,na,na,1578964.0,na,na,na,na,na,na,na,na,na,na,na
Anglogold Ashanti International,2007,Gold,anglogold_ashanti_international2007gold,3749228.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3749228.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Chirano Gold Mines Ltd,2007,Gold,chirano_gold_mines_ltd2007gold,1822177.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35000.0,na,na,1785624.0,na,na,na,na,na,na,na,na,na,na,1553.0,na,na,na,na,na,na
Ghana Bauxite Company Ltd,2007,Bauxite,ghana_bauxite_company_ltd2007bauxite,554052.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11576.0,na,na,542476.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ghana Manganese Company Ltd,2007,Manganese,ghana_manganese_company_ltd2007manganese,1246223.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13196.0,na,na,1030516.0,na,104194.0,na,na,na,98317.0,na,na,na,na,na,na,na,na,na,na,na
Golden Star (Wassa) Ltd,2007,Gold,golden_star_(wassa)_ltd2007gold,2160918.0,na,2007 Ghana Summary Data (draft).xlsx,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85738.0,na,na,2075180.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
